,source,avg1,avg2,avg3
0,https://gallica.bnf.fr/ark:/12148/btv1b53163492h,[165.5 162.5 147. ],[164.75 158.75 142.75],[164.25 162.25 148.5 ]
1,https://gallica.bnf.fr/ark:/12148/btv1b531634912,[147.25 121.25  94.25],[167.75 165.   149.5 ],[170.25 164.   148.75]
2,https://gallica.bnf.fr/ark:/12148/btv1b531638493,[147.25 131.   105.  ],[159.5 150.5 133.5],[148.   124.75  97.75]
3,https://gallica.bnf.fr/ark:/12148/btv1b53164917p,[169.5 162.5 146.5],[160.75 148.25 131.  ],[168. 159. 144.]
4,https://gallica.bnf.fr/ark:/12148/btv1b531688758,[156.5  157.5  145.75],[155.25 153.75 144.  ],[154.   153.5  143.25]
5,https://gallica.bnf.fr/ark:/12148/btv1b53168876q,[152.5 152.  145. ],[157.   158.25 145.5 ],[158.   158.   146.25]
6,https://gallica.bnf.fr/ark:/12148/btv1b531651477,[163.5  158.   144.75],[165.25 161.25 149.25],[166.25 162.5  150.25]
7,https://gallica.bnf.fr/ark:/12148/btv1b53168872x,[161.5 159.5 147. ],[155.25 154.25 142.75],[153.  151.  135.5]
8,https://gallica.bnf.fr/ark:/12148/btv1b531688701,[153.75 152.5  140.  ],[154.5  154.5  145.75],[155.25 150.75 135.75]
9,https://gallica.bnf.fr/ark:/12148/btv1b53171770j,[166.25 162.25 150.25],[162.25 156.25 142.25],[163.25 157.75 142.5 ]
10,https://gallica.bnf.fr/ark:/12148/btv1b53168873c,[149.5  143.25 126.75],[158.75 156.75 144.75],[158.25 158.25 146.5 ]
11,https://gallica.bnf.fr/ark:/12148/btv1b531709271,[161.   155.5  141.75],[159.   154.25 140.  ],[163.25 159.5  146.5 ]
12,https://gallica.bnf.fr/ark:/12148/btv1b53164915s,[166.25 160.25 146.25],[157.5 151.5 139.5],[164.25 149.75 130.75]
13,https://gallica.bnf.fr/ark:/12148/btv1b531651494,[159.5 152.  137.5],[165.75 159.75 146.  ],[166.   161.75 149.75]
14,https://gallica.bnf.fr/ark:/12148/btv1b53168871g,[161.5 159.5 147.5],[159.   159.   148.25],[158.75 153.25 137.5 ]
15,https://gallica.bnf.fr/ark:/12148/btv1b531638476,[162.5 156.5 140.5],[153.75 146.5  130.5 ],[165.5  158.75 140.25]
16,https://gallica.bnf.fr/ark:/12148/btv1b53165144w,[170.25 164.25 150.25],[165.75 161.25 146.  ],[168. 160. 141.]
17,https://gallica.bnf.fr/ark:/12148/btv1b531649167,[163. 156. 140.],[165.25 159.   144.75],[160.5 145.5 126.5]
18,https://gallica.bnf.fr/ark:/12148/btv1b53163719g,[161.5 154.5 137.5],[158.75 144.   119.25],[163.   154.   132.75]
19,https://gallica.bnf.fr/ark:/12148/btv1b53163717k,[169.25 162.5  145.5 ],[162.  155.5 136.5],[169.5 161.5 142.5]
20,https://gallica.bnf.fr/ark:/12148/btv1b53165148p,[163.5 159.5 147.5],[163.5 160.  148. ],[164.25 160.75 148.25]
21,https://gallica.bnf.fr/ark:/12148/btv1b53163712b,[178.5 157.5 136.5],[166.5  157.75 139.  ],[164.75 156.75 139.25]
22,https://gallica.bnf.fr/ark:/12148/btv1b53168874t,[155. 155. 145.],[154.5  155.25 144.  ],[157.25 157.25 147.  ]
23,https://gallica.bnf.fr/ark:/12148/btv1b53170928g,[163.5 157.5 143.5],[160.   144.75 124.  ],[162. 156. 142.]
24,https://gallica.bnf.fr/ark:/12148/btv1b53165011x,[166.25 160.25 146.25],[166. 160. 145.],[166.25 162.25 150.75]
25,https://gallica.bnf.fr/ark:/12148/btv1b53164914b,[157.25 154.75 142.75],[159.75 157.25 145.5 ],[165.5  159.75 147.  ]
