,R,G,B
0,170.5,164.5,149.75
1,147.0,123.0,95.75
2,141.75,136.75,130.75
3,167.0,161.0,145.0
4,151.75,152.25,143.0
5,153.5,155.25,148.25
6,158.75,154.75,142.5
7,157.0,151.0,136.5
8,141.0,137.0,125.0
9,165.25,158.0,144.0
10,151.0,142.25,125.25
11,158.25,152.25,140.25
12,147.0,132.0,113.0
13,167.75,160.0,144.5
14,158.0,156.0,142.5
15,166.75,159.75,142.25
16,164.75,157.25,139.0
17,156.0,143.0,124.0
18,171.25,163.25,144.25
19,168.25,160.25,141.25
20,163.75,161.25,149.0
21,178.75,156.75,135.75
22,152.0,153.0,144.25
23,156.5,152.5,140.0
24,168.25,162.25,149.0
25,158.5,158.0,147.0
26,164.25,160.75,147.75
27,163.25,158.5,146.75
28,163.75,155.75,136.75
29,157.25,152.0,133.75
30,165.5,159.5,143.5
31,165.0,159.5,145.75
32,161.0,153.0,131.0
33,167.0,161.0,147.0
34,162.25,157.25,144.75
35,188.0,167.0,146.0
36,182.0,160.0,139.0
37,167.0,157.25,138.5
38,159.5,156.0,144.5
39,162.75,158.75,146.75
40,154.25,151.0,140.75
41,158.5,150.5,135.0
42,157.75,153.5,139.5
43,167.75,161.75,145.75
44,164.75,161.25,147.5
45,164.25,159.75,146.25
46,159.0,151.5,137.0
47,161.5,159.0,146.0
48,158.0,153.25,138.75
49,156.0,144.25,126.25
50,161.5,156.5,143.5
51,167.5,161.5,147.5
52,171.25,163.25,144.25
53,164.5,159.25,143.5
54,164.0,164.5,153.0
55,144.25,143.25,131.0
56,167.75,167.75,157.25
57,161.0,161.5,153.0
58,135.0,132.5,122.25
59,173.25,174.5,163.75
60,140.75,139.75,127.5
61,172.0,170.0,157.0
62,142.0,138.0,119.5
63,171.5,176.5,170.25
64,148.25,148.75,132.5
65,150.0,148.5,133.5
66,149.0,148.25,135.0
67,188.0,188.0,180.0
68,143.5,138.0,121.25
69,145.5,135.0,122.5
70,146.0,142.25,130.0
71,145.75,141.25,118.75
72,148.0,144.25,130.75
73,175.75,175.75,167.75
74,185.0,179.5,153.0
75,176.75,176.75,166.75
76,155.0,149.5,136.5
77,161.5,159.5,146.5
78,144.5,140.25,120.25
79,148.25,137.75,115.75
80,166.25,167.25,159.25
81,136.0,133.0,117.25
82,138.75,137.75,120.25
83,179.0,177.25,159.0
84,174.0,172.0,159.25
85,169.0,165.0,151.25
86,162.5,149.0,128.25
87,176.0,180.0,176.25
88,170.5,170.5,161.0
89,185.0,187.0,182.25
90,181.75,183.75,179.0
91,170.0,171.0,165.0
92,163.75,166.25,160.5
93,172.25,174.5,167.25
94,174.75,174.0,164.75
95,180.0,182.0,178.0
96,172.25,172.25,163.25
97,172.0,172.5,161.25
98,170.5,166.5,154.5
99,156.25,153.5,142.5
100,144.0,140.5,123.5
101,147.0,144.75,125.25
102,167.25,167.75,159.5
103,166.75,163.75,148.25
104,189.25,189.75,180.75
105,157.25,136.75,114.25
